               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 157,            0.031725,            0.015288,            0.018547,             0.75338,             0.67455,             0.72314,             0.44698,             0.02446,           0.0068399,            0.011535,           0.0038224,           0.0038224,           0.0038224
                 158,            0.028772,             0.01468,            0.018001,             0.83121,             0.61637,             0.69909,             0.43538,              0.0248,           0.0073733,            0.019392,           0.0037828,           0.0037828,           0.0037828
                 159,            0.029589,             0.01559,            0.018146,              0.7368,             0.64843,             0.74345,             0.49339,            0.021219,           0.0074702,             0.01327,           0.0037432,           0.0037432,           0.0037432
                 160,            0.028371,            0.014583,            0.016401,             0.79974,             0.64439,             0.74233,             0.45298,            0.023841,           0.0072841,            0.013459,           0.0037036,           0.0037036,           0.0037036
                 161,            0.028398,            0.014069,            0.016672,             0.70076,             0.64646,             0.71261,             0.46745,            0.023645,           0.0067879,            0.013278,            0.003664,            0.003664,            0.003664
                 162,            0.029512,            0.014414,            0.018088,              0.8493,             0.58973,             0.72796,             0.43071,             0.02427,           0.0070169,             0.01474,           0.0036244,           0.0036244,           0.0036244
                 163,            0.029351,            0.014449,            0.016709,             0.72803,             0.62286,             0.74839,             0.48335,            0.022669,           0.0070524,             0.01227,           0.0035848,           0.0035848,           0.0035848
                 164,            0.029353,            0.014942,            0.016365,             0.91874,             0.61935,             0.75843,             0.51134,            0.021878,           0.0069103,            0.013177,           0.0035452,           0.0035452,           0.0035452
                 165,            0.027951,            0.014324,            0.015419,             0.84023,             0.64042,             0.75795,             0.48829,             0.02429,           0.0068228,            0.014005,           0.0035056,           0.0035056,           0.0035056
                 166,            0.028508,            0.014153,            0.016965,             0.61606,             0.55336,             0.63906,                0.35,             0.02605,             0.00768,            0.016611,            0.003466,            0.003466,            0.003466
                 167,            0.028672,            0.014014,            0.015965,             0.70918,             0.69962,             0.73005,             0.46319,            0.022833,           0.0071232,            0.013162,           0.0034264,           0.0034264,           0.0034264
                 168,            0.027998,            0.014574,            0.015627,             0.77221,             0.63934,             0.71028,               0.399,            0.024869,           0.0070699,            0.016837,           0.0033868,           0.0033868,           0.0033868
                 169,            0.030402,            0.015195,            0.017566,             0.76376,             0.66365,             0.72943,             0.43106,            0.024536,           0.0070561,            0.015969,           0.0033472,           0.0033472,           0.0033472
                 170,            0.028789,            0.014642,            0.016184,             0.80295,             0.69539,             0.74618,             0.47366,            0.023888,           0.0070913,            0.014205,           0.0033076,           0.0033076,           0.0033076
                 171,            0.029235,            0.014574,            0.015812,             0.73482,             0.57594,             0.68957,             0.41946,            0.024764,           0.0076318,            0.013663,            0.003268,            0.003268,            0.003268
                 172,            0.027742,            0.014183,            0.015746,             0.78612,             0.67959,             0.80394,             0.47052,            0.023316,           0.0074291,            0.012903,           0.0032284,           0.0032284,           0.0032284
                 173,            0.028497,            0.014403,            0.015389,             0.79522,             0.65954,             0.74841,             0.44629,            0.023719,           0.0071595,            0.012831,           0.0031888,           0.0031888,           0.0031888
                 174,            0.028227,             0.01428,             0.01434,             0.78005,             0.63806,             0.68561,             0.44119,             0.02143,           0.0069368,            0.016203,           0.0031492,           0.0031492,           0.0031492
                 175,            0.028999,             0.01422,            0.014782,             0.62997,             0.66206,             0.68609,             0.43082,             0.02234,           0.0071574,            0.014349,           0.0031096,           0.0031096,           0.0031096
                 176,            0.027728,            0.013687,            0.014729,             0.71253,             0.65352,             0.74771,             0.48215,            0.022106,           0.0067148,            0.012262,             0.00307,             0.00307,             0.00307
                 177,            0.027499,            0.014105,            0.012798,             0.81794,             0.64358,             0.76422,             0.51571,            0.022191,           0.0067204,            0.011247,           0.0030304,           0.0030304,           0.0030304
                 178,            0.028166,            0.014109,            0.013894,              0.6636,              0.6323,             0.69121,              0.3948,            0.025976,           0.0070957,            0.013609,           0.0029908,           0.0029908,           0.0029908
                 179,            0.026897,            0.013539,            0.012706,             0.71935,             0.64943,             0.71391,             0.39514,            0.025146,           0.0074916,            0.014684,           0.0029512,           0.0029512,           0.0029512
                 180,            0.028406,             0.01399,            0.014552,             0.79794,              0.6238,             0.72343,             0.46253,             0.02264,           0.0076266,            0.016085,           0.0029116,           0.0029116,           0.0029116
                 181,            0.028171,            0.013784,            0.014176,             0.62019,             0.66525,             0.70224,             0.43858,            0.023186,           0.0072612,            0.013541,            0.002872,            0.002872,            0.002872
                 182,            0.028929,            0.013719,            0.015214,             0.73078,             0.59073,             0.70762,              0.4645,            0.021607,           0.0071004,            0.016834,           0.0028324,           0.0028324,           0.0028324
                 183,            0.027632,            0.014314,            0.014219,             0.87733,             0.71686,             0.81384,             0.54256,              0.0221,           0.0069622,            0.010653,           0.0027928,           0.0027928,           0.0027928
                 184,            0.027106,            0.014201,            0.012116,             0.89757,             0.74842,             0.82728,             0.52303,             0.02188,            0.006638,           0.0097668,           0.0027532,           0.0027532,           0.0027532
                 185,            0.026936,            0.013804,            0.013183,             0.77714,             0.73325,             0.78652,             0.49956,            0.022729,           0.0068387,           0.0098545,           0.0027136,           0.0027136,           0.0027136
                 186,            0.027856,            0.014355,            0.016218,             0.87398,             0.61424,             0.78309,             0.51668,            0.022742,           0.0069849,           0.0093277,            0.002674,            0.002674,            0.002674
                 187,             0.02743,             0.01378,            0.015112,             0.80204,             0.61889,             0.69807,              0.4274,             0.02531,           0.0066364,            0.012024,           0.0026344,           0.0026344,           0.0026344
                 188,              0.0272,            0.014233,            0.015399,             0.63892,             0.65696,             0.71435,             0.45972,             0.02221,           0.0071375,            0.015359,           0.0025948,           0.0025948,           0.0025948
                 189,            0.027266,            0.013496,            0.015748,             0.70328,             0.71261,             0.70962,              0.4332,            0.022863,           0.0070391,            0.017397,           0.0025552,           0.0025552,           0.0025552
                 190,            0.026494,            0.013127,            0.014852,             0.79646,             0.63307,             0.71241,              0.4635,            0.021716,           0.0070584,            0.011887,           0.0025156,           0.0025156,           0.0025156
                 191,            0.026192,            0.013906,            0.011621,             0.85967,             0.67261,             0.78589,             0.53907,            0.021528,           0.0068218,            0.010532,            0.002476,            0.002476,            0.002476
                 192,             0.02616,            0.013409,            0.011334,             0.73379,             0.74154,             0.78715,             0.53903,            0.021139,           0.0069223,            0.011531,           0.0024364,           0.0024364,           0.0024364
                 193,            0.026471,            0.013635,             0.01342,             0.66737,             0.69897,             0.72063,             0.46896,            0.021893,            0.007058,            0.013071,           0.0023968,           0.0023968,           0.0023968
                 194,            0.027461,            0.013969,            0.012187,             0.88247,             0.61743,             0.76732,             0.52328,            0.021278,            0.007016,            0.012189,           0.0023572,           0.0023572,           0.0023572
                 195,            0.026821,            0.013572,             0.01196,             0.85802,             0.67023,             0.76214,             0.52563,            0.021182,            0.006844,            0.013741,           0.0023176,           0.0023176,           0.0023176
                 196,            0.026976,            0.013526,            0.015518,             0.68037,             0.70274,             0.74079,             0.50056,            0.022259,           0.0068435,            0.013654,            0.002278,            0.002278,            0.002278
                 197,            0.025811,            0.013633,            0.010692,             0.66848,             0.73414,             0.70922,             0.43038,            0.023689,           0.0071447,            0.017113,           0.0022384,           0.0022384,           0.0022384
                 198,            0.025897,            0.012827,            0.013641,             0.69884,             0.64811,             0.70804,             0.44152,            0.022396,           0.0073421,            0.014469,           0.0021988,           0.0021988,           0.0021988
                 199,            0.026823,            0.013479,            0.014378,             0.80979,             0.67686,             0.76122,             0.50494,            0.022117,           0.0071926,            0.014235,           0.0021592,           0.0021592,           0.0021592
                 200,            0.026282,            0.013569,            0.012257,             0.73119,              0.7045,             0.74691,             0.50795,            0.021913,            0.007281,            0.013401,           0.0021196,           0.0021196,           0.0021196
                 201,            0.025548,            0.013824,            0.011527,              0.7556,             0.53227,             0.62992,             0.40571,            0.023215,           0.0069022,            0.019392,             0.00208,             0.00208,             0.00208
                 202,            0.025995,            0.013866,             0.01231,             0.69866,             0.69016,             0.75113,             0.48742,            0.022933,           0.0068858,            0.012804,           0.0020404,           0.0020404,           0.0020404
                 203,            0.026569,            0.013504,            0.012538,               0.873,             0.68832,             0.81306,             0.53094,            0.022466,           0.0069021,            0.011407,           0.0020008,           0.0020008,           0.0020008
                 204,            0.025902,            0.013187,            0.015532,             0.66929,             0.74685,             0.74926,             0.44686,            0.024163,           0.0070571,            0.012831,           0.0019612,           0.0019612,           0.0019612
                 205,            0.026508,            0.012924,            0.013428,             0.71863,             0.73002,             0.78913,              0.5282,            0.021791,           0.0067786,            0.013679,           0.0019216,           0.0019216,           0.0019216
                 206,            0.025292,            0.013107,            0.014286,              0.7481,             0.71628,             0.78778,             0.52283,             0.02193,           0.0068912,           0.0089409,            0.001882,            0.001882,            0.001882
                 207,            0.026336,             0.01396,            0.011947,             0.72102,             0.75022,             0.76115,             0.50812,            0.021067,           0.0069675,            0.010724,           0.0018424,           0.0018424,           0.0018424
                 208,            0.025684,            0.013174,            0.011398,              0.8347,             0.76382,             0.85304,             0.56852,            0.020788,           0.0069053,            0.008934,           0.0018028,           0.0018028,           0.0018028
                 209,            0.025171,             0.01308,            0.011238,             0.74005,             0.75703,             0.80867,             0.56045,            0.021188,           0.0071083,           0.0088245,           0.0017632,           0.0017632,           0.0017632
                 210,            0.025614,            0.012829,            0.010762,             0.66354,             0.64938,             0.69292,             0.44954,            0.022515,           0.0073806,            0.018915,           0.0017236,           0.0017236,           0.0017236
                 211,            0.025623,            0.013252,            0.010837,             0.75185,             0.68567,             0.75042,             0.52008,            0.022107,           0.0071486,            0.011211,            0.001684,            0.001684,            0.001684
                 212,            0.026477,            0.012763,            0.012552,             0.74372,             0.69232,             0.72824,             0.47928,            0.021582,           0.0066917,            0.013937,           0.0016444,           0.0016444,           0.0016444
                 213,             0.02512,            0.013145,            0.011245,             0.73633,             0.70907,             0.75969,             0.50846,            0.020728,           0.0065897,            0.012709,           0.0016048,           0.0016048,           0.0016048
                 214,            0.024788,            0.012375,            0.012887,             0.70807,             0.74661,             0.78317,             0.53509,            0.020821,           0.0068896,            0.011964,           0.0015652,           0.0015652,           0.0015652
                 215,            0.025182,            0.012741,            0.011867,             0.72977,             0.74453,             0.76381,             0.48846,            0.021929,           0.0067015,            0.013161,           0.0015256,           0.0015256,           0.0015256
                 216,            0.025308,            0.013452,            0.011307,             0.70959,             0.67525,             0.71704,             0.44091,            0.022869,           0.0068354,            0.015514,            0.001486,            0.001486,            0.001486
                 217,            0.024563,            0.012849,             0.01197,              0.8687,              0.6736,             0.77313,             0.52535,            0.021111,           0.0065823,            0.012523,           0.0014464,           0.0014464,           0.0014464
                 218,            0.025168,             0.01289,            0.010631,             0.84921,             0.69599,             0.78821,             0.53962,            0.021335,           0.0066969,            0.010967,           0.0014068,           0.0014068,           0.0014068
                 219,            0.025592,            0.013022,            0.011281,              0.8347,             0.63275,             0.75243,             0.48009,            0.022691,           0.0066761,            0.014542,           0.0013672,           0.0013672,           0.0013672
                 220,            0.025419,            0.013099,            0.011089,             0.73813,             0.66368,              0.7244,             0.45715,              0.0236,           0.0068493,            0.011954,           0.0013276,           0.0013276,           0.0013276
                 221,             0.02411,            0.013064,             0.01021,             0.73642,             0.71249,             0.76697,             0.50333,            0.021314,           0.0066492,            0.011576,            0.001288,            0.001288,            0.001288
                 222,             0.02616,            0.013383,           0.0097867,             0.74498,             0.75292,             0.81534,             0.52919,            0.020886,           0.0065197,            0.012307,           0.0012484,           0.0012484,           0.0012484
                 223,            0.024395,            0.013035,           0.0092872,              0.7867,             0.76719,             0.81689,             0.50543,            0.022697,           0.0065833,            0.010743,           0.0012088,           0.0012088,           0.0012088
                 224,            0.024874,            0.013015,            0.011355,             0.79945,             0.66022,             0.76583,             0.49105,            0.022245,           0.0068368,            0.012341,           0.0011692,           0.0011692,           0.0011692
                 225,            0.024092,            0.012459,            0.011492,             0.69647,             0.72046,             0.74423,             0.45069,            0.022009,           0.0067321,              0.0147,           0.0011296,           0.0011296,           0.0011296
                 226,            0.022819,            0.012014,            0.011587,             0.78451,             0.67513,             0.75501,             0.46939,            0.022946,           0.0065823,            0.012196,             0.00109,             0.00109,             0.00109
                 227,            0.023965,            0.013234,            0.010639,             0.85568,               0.693,             0.81355,             0.54333,            0.020675,           0.0065675,            0.010227,           0.0010504,           0.0010504,           0.0010504
                 228,            0.024412,            0.013005,            0.010354,             0.82562,             0.70679,             0.79231,             0.51602,            0.021975,           0.0065429,            0.010294,           0.0010108,           0.0010108,           0.0010108
                 229,            0.024668,            0.012376,             0.01071,              0.7884,             0.68328,             0.76659,             0.52603,            0.020613,           0.0064494,            0.011831,           0.0009712,           0.0009712,           0.0009712
                 230,            0.024692,             0.01279,            0.011243,             0.81628,             0.69729,             0.76322,             0.50671,            0.021129,           0.0064233,            0.012627,           0.0009316,           0.0009316,           0.0009316
                 231,            0.024336,            0.012447,            0.010326,             0.78707,             0.70117,             0.75998,             0.52236,            0.020301,           0.0064672,            0.012143,            0.000892,            0.000892,            0.000892
                 232,            0.024652,            0.012759,            0.011298,             0.73084,             0.67109,             0.71926,             0.49142,            0.020767,            0.006584,            0.013206,           0.0008524,           0.0008524,           0.0008524
                 233,            0.023783,            0.012598,           0.0090253,             0.85268,             0.65796,             0.73939,             0.50455,            0.020583,           0.0067014,            0.012899,           0.0008128,           0.0008128,           0.0008128
                 234,            0.023515,            0.012273,            0.010024,             0.79938,             0.68506,             0.75144,             0.52009,             0.01962,           0.0065516,            0.012799,           0.0007732,           0.0007732,           0.0007732
                 235,            0.024096,            0.012381,           0.0086765,               0.801,             0.65413,             0.75463,             0.51958,            0.019475,           0.0063884,            0.013248,           0.0007336,           0.0007336,           0.0007336
                 236,            0.023849,            0.012312,            0.010161,             0.76001,             0.69157,              0.7595,             0.53858,            0.019379,           0.0064068,            0.012565,            0.000694,            0.000694,            0.000694
                 237,            0.023781,            0.012945,           0.0090752,             0.76703,             0.70845,             0.78868,             0.54052,            0.019254,           0.0064929,            0.012181,           0.0006544,           0.0006544,           0.0006544
                 238,            0.023764,            0.012328,           0.0091442,             0.81338,              0.7043,             0.81337,             0.55451,            0.019653,           0.0066001,            0.011119,           0.0006148,           0.0006148,           0.0006148
                 239,            0.022814,            0.012321,           0.0078127,             0.85432,             0.63181,             0.81127,             0.55876,            0.019831,           0.0064709,            0.010649,           0.0005752,           0.0005752,           0.0005752
                 240,            0.023627,             0.01239,           0.0092939,             0.81475,             0.64271,             0.78168,             0.54761,            0.019865,           0.0064194,            0.011312,           0.0005356,           0.0005356,           0.0005356
                 241,             0.02438,             0.01251,            0.012087,             0.80842,             0.63907,             0.79503,             0.54516,             0.02025,           0.0065011,            0.011184,            0.000496,            0.000496,            0.000496
                 242,            0.024201,            0.012051,            0.011287,             0.83401,             0.65764,             0.78368,             0.52714,            0.021478,           0.0066383,            0.011293,           0.0004564,           0.0004564,           0.0004564
                 243,            0.024271,            0.012154,            0.010244,             0.82019,             0.66865,             0.76476,             0.50155,            0.021628,           0.0065119,            0.011436,           0.0004168,           0.0004168,           0.0004168
                 244,            0.023735,            0.012751,           0.0082307,             0.73468,             0.69292,             0.79038,             0.53557,            0.019931,           0.0064717,            0.012528,           0.0003772,           0.0003772,           0.0003772
                 245,             0.02317,            0.012133,           0.0090066,             0.74844,             0.70409,             0.77781,             0.51376,            0.020469,           0.0065885,            0.012453,           0.0003376,           0.0003376,           0.0003376
                 246,            0.022161,            0.012113,           0.0079129,             0.74642,             0.73753,             0.79998,             0.54697,            0.019742,           0.0065263,            0.010992,            0.000298,            0.000298,            0.000298
                 247,            0.024174,            0.012163,           0.0095593,              0.7776,             0.72403,             0.78693,             0.54044,            0.020151,           0.0065285,            0.010748,           0.0002584,           0.0002584,           0.0002584
                 248,             0.02336,            0.012336,             0.01063,             0.77758,             0.70446,             0.78181,             0.53808,            0.019671,           0.0065696,            0.010608,           0.0002188,           0.0002188,           0.0002188
                 249,            0.023363,            0.012068,           0.0080932,             0.77839,             0.70907,             0.78307,             0.54463,            0.019491,            0.006564,            0.010663,           0.0001792,           0.0001792,           0.0001792
