                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.411,                 4.3924,                 4.2552,                0.00196,                0.41482,                0.00198,                0.00077,                 3.6297,                 4.5594,                 4.1574,             0.00026664,             0.00026664,             0.00026664
                      2,                 3.3546,                 4.2402,                 4.1253,                0.00212,                 0.4211,                0.00418,                0.00124,                 3.6271,                 4.4923,                 4.1042,             0.00054223,             0.00054223,             0.00054223
                      3,                 3.1277,                 4.0293,                 3.8953,                0.00208,                0.42374,                0.00933,                0.00316,                  3.572,                 4.4075,                 4.1751,             0.00081563,             0.00081563,             0.00081563
                      4,                  3.053,                 3.8008,                 3.6463,                0.67279,                0.04984,                0.03138,                0.00734,                 3.2433,                 4.3614,                 3.9469,              0.0010868,              0.0010868,              0.0010868
                      5,                 2.8548,                 3.6363,                 3.4441,                0.05956,                0.24288,                0.03814,                0.01186,                 2.7481,                 5.6197,                 3.6748,              0.0010934,              0.0010934,              0.0010934
                      6,                  2.749,                 3.5787,                 3.3141,                0.10611,                0.07144,                0.02767,                0.00438,                 3.2995,                 30.665,                  4.516,              0.0010934,              0.0010934,              0.0010934
                      7,                 2.6139,                 3.4168,                 3.1774,                0.11339,                0.23368,                0.08449,                0.02148,                 2.8443,                 6.2929,                  3.471,               0.001089,               0.001089,               0.001089
                      8,                 2.4044,                 3.3211,                  3.006,                0.17878,                0.33113,                0.12788,                0.04374,                 2.3562,                 3.9321,                 3.0684,              0.0010846,              0.0010846,              0.0010846
                      9,                 2.3566,                  3.102,                 2.8937,                0.14402,                 0.2433,                0.14289,                0.05578,                 2.3518,                  2.961,                  2.973,              0.0010802,              0.0010802,              0.0010802
                     10,                 2.2329,                 3.0301,                 2.7729,                0.12779,                0.28192,                0.09793,                0.03302,                 2.2964,                 3.7626,                 2.8375,              0.0010758,              0.0010758,              0.0010758
                     11,                 2.2616,                 2.9588,                 2.7697,                0.15692,                  0.419,                0.18837,                 0.0863,                 2.0313,                 3.9191,                  2.664,              0.0010714,              0.0010714,              0.0010714
                     12,                  2.076,                 2.8877,                 2.6365,                0.14853,                0.42271,                0.16069,                0.07401,                 1.9437,                   3.45,                 2.6357,               0.001067,               0.001067,               0.001067
                     13,                 2.0784,                 2.9243,                 2.6144,                0.28409,                0.13614,                   0.11,                0.04689,                 2.5659,                 3.7542,                 3.0703,              0.0010626,              0.0010626,              0.0010626
                     14,                 1.8838,                 2.7484,                 2.5002,                0.40599,                0.42599,                0.34003,                0.18711,                  1.791,                 2.4775,                 2.4338,              0.0010582,              0.0010582,              0.0010582
