                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3756,                 4.3301,                 4.2863,                0.00186,                0.42063,                0.00211,                0.00076,                 3.6271,                 4.4638,                   4.15,             0.00026664,             0.00026664,             0.00026664
                      2,                 3.2801,                 4.2504,                 4.0998,                0.00191,                0.41004,                0.00193,                0.00074,                 3.6175,                 4.2042,                 4.1647,             0.00054223,             0.00054223,             0.00054223
                      3,                 2.9548,                 3.9471,                 3.7943,                0.00195,                0.41707,                0.00208,                0.00073,                 3.6126,                 3.8421,                 4.1724,             0.00081563,             0.00081563,             0.00081563
                      4,                 2.8312,                 3.7335,                  3.522,                0.03135,                0.29066,                0.02477,                0.00677,                 3.0749,                 13.644,                 4.6022,              0.0010868,              0.0010868,              0.0010868
                      5,                 2.6608,                  3.523,                 3.2675,                0.01866,                0.05527,                0.01193,                0.00419,                 3.2605,                  45.97,                 5.8136,              0.0010934,              0.0010934,              0.0010934
                      6,                 2.5497,                 3.4236,                 3.1191,                0.00777,                0.09955,                0.00611,                0.00162,                 3.5758,                 39.455,                 6.5073,              0.0010934,              0.0010934,              0.0010934
                      7,                 2.4135,                 3.2731,                 2.9708,                0.04894,                0.06826,                 0.0077,                0.00249,                 3.6847,                 5.2564,                 4.0176,               0.001089,               0.001089,               0.001089
                      8,                 2.2755,                 3.2293,                 2.8291,                0.04073,                0.18745,                0.04227,                0.01256,                 2.9864,                 25.565,                 4.0762,              0.0010846,              0.0010846,              0.0010846
                      9,                 2.2201,                 3.0533,                 2.6986,                0.13701,                 0.3211,                0.11283,                0.04317,                  2.324,                 3.1844,                  2.914,              0.0010802,              0.0010802,              0.0010802
                     10,                 2.1476,                 2.9924,                 2.5995,                0.10302,                0.26417,                0.12404,                0.03867,                 2.2619,                 3.2421,                  2.858,              0.0010758,              0.0010758,              0.0010758
                     11,                 2.1665,                 2.9544,                 2.5558,                0.10002,                0.18132,                0.05854,                0.02279,                 2.5735,                 5.1314,                 3.0625,              0.0010714,              0.0010714,              0.0010714
                     12,                 1.9696,                 2.8338,                 2.4369,                0.21277,                0.38021,                0.22849,                0.08801,                 2.1366,                 4.9452,                 2.8381,               0.001067,               0.001067,               0.001067
                     13,                 1.9743,                 2.8778,                 2.4112,                0.10646,                 0.3471,                0.13723,                0.04916,                 2.3733,                  4.924,                 2.8834,              0.0010626,              0.0010626,              0.0010626
                     14,                 1.8321,                 2.7226,                 2.3122,                0.23838,                0.43691,                0.22197,                0.10081,                 1.9614,                 3.3687,                 2.5772,              0.0010582,              0.0010582,              0.0010582
                     15,                 1.8812,                 2.6613,                 2.2928,                0.58458,                0.22056,                0.19734,                0.09319,                  1.883,                 3.1812,                 2.5063,              0.0010538,              0.0010538,              0.0010538
                     16,                 1.8368,                 2.6405,                 2.2525,                0.25507,                0.54436,                0.29106,                0.14757,                 1.7453,                 2.7994,                 2.4158,              0.0010494,              0.0010494,              0.0010494
                     17,                 1.7049,                 2.5423,                 2.1834,                0.24884,                0.36805,                0.24041,                0.10511,                 1.7028,                 2.4966,                 2.3805,               0.001045,               0.001045,               0.001045
                     18,                 1.7342,                 2.5138,                 2.1546,                0.22426,                0.53377,                0.25332,                0.12176,                 1.7223,                 2.8134,                 2.3509,              0.0010406,              0.0010406,              0.0010406
                     19,                 1.7086,                 2.4699,                 2.1263,                0.24797,                0.51422,                0.27537,                0.12787,                  1.745,                 2.7821,                 2.3472,              0.0010362,              0.0010362,              0.0010362
                     20,                 1.6711,                 2.4537,                 2.0978,                0.20665,                0.19075,                0.12578,                0.04283,                 2.2595,                 3.5834,                 2.8204,              0.0010318,              0.0010318,              0.0010318
                     21,                 1.6575,                  2.435,                 2.1104,                0.29409,                0.52655,                0.27684,                0.13566,                   1.68,                 2.4172,                 2.2845,              0.0010274,              0.0010274,              0.0010274
                     22,                 1.6546,                 2.3904,                 2.0665,                0.34404,                0.49715,                 0.3435,                0.19906,                 1.5483,                 2.4778,                 2.1531,               0.001023,               0.001023,               0.001023
                     23,                  1.562,                 2.2856,                 1.9715,                0.31259,                0.48281,                0.32294,                  0.174,                 1.5792,                 2.2844,                 2.2325,              0.0010186,              0.0010186,              0.0010186
                     24,                  1.589,                 2.3096,                 1.9759,                0.42311,                0.27263,                0.17542,                0.07379,                 2.1803,                  3.084,                 2.7279,              0.0010142,              0.0010142,              0.0010142
                     25,                 1.6095,                 2.3411,                 2.0218,                0.33367,                0.50868,                0.35385,                0.19376,                 1.5635,                 2.2065,                 2.1702,              0.0010098,              0.0010098,              0.0010098
                     26,                 1.6238,                 2.3162,                 2.0296,                0.27997,                0.41907,                0.25113,                0.13892,                 1.4615,                 2.7463,                 2.0959,              0.0010054,              0.0010054,              0.0010054
                     27,                 1.6363,                 2.3305,                 2.0028,                0.21171,                0.39111,                0.20298,                0.09004,                 2.1546,                 3.7666,                 2.6749,               0.001001,               0.001001,               0.001001
                     28,                 1.4637,                 2.1536,                 1.9171,                0.38312,                0.49562,                0.41204,                0.24438,                 1.4114,                 1.9083,                  2.067,             0.00099661,             0.00099661,             0.00099661
                     29,                 1.5149,                 2.1535,                 1.8924,                 0.3884,                0.56808,                0.40117,                0.23758,                 1.3678,                 1.9999,                 1.9942,             0.00099221,             0.00099221,             0.00099221
                     30,                 1.4568,                 2.1274,                 1.8606,                0.30762,                0.49399,                0.37634,                0.22341,                 1.3729,                 2.0019,                  1.987,             0.00098781,             0.00098781,             0.00098781
                     31,                 1.3976,                  2.063,                 1.8344,                 0.3813,                0.32806,                0.28815,                0.15331,                 2.1218,                 2.8615,                 2.6618,             0.00098341,             0.00098341,             0.00098341
                     32,                 1.4398,                 2.0582,                 1.8332,                0.30134,                0.60138,                0.35498,                0.22345,                 1.3789,                 2.0906,                 1.9721,             0.00097901,             0.00097901,             0.00097901
                     33,                 1.5057,                 2.0614,                 1.8547,                0.29673,                0.61639,                0.35502,                0.21149,                 1.3569,                 1.8668,                 1.9657,             0.00097461,             0.00097461,             0.00097461
                     34,                 1.4284,                 2.0477,                 1.8033,                0.34411,                0.52209,                0.37575,                0.23171,                 1.3285,                 2.4764,                 1.9482,             0.00097021,             0.00097021,             0.00097021
                     35,                 1.3463,                 2.0025,                 1.7819,                 0.1381,                0.25681,                0.11453,                0.05016,                  2.305,                 3.1691,                 2.8383,             0.00096581,             0.00096581,             0.00096581
                     36,                 1.4087,                 2.0102,                 1.8143,                0.42802,                0.62473,                0.44391,                0.29689,                 1.2767,                 1.7222,                 1.9094,             0.00096141,             0.00096141,             0.00096141
                     37,                 1.2997,                 1.9483,                 1.7426,                0.41484,                0.67161,                0.51373,                0.33719,                  1.226,                 1.7866,                   1.83,             0.00095702,             0.00095702,             0.00095702
                     38,                 1.3688,                 1.9654,                 1.7612,                0.55593,                0.54144,                0.44774,                0.29585,                 1.2362,                  1.839,                 1.8265,             0.00095262,             0.00095262,             0.00095262
                     39,                 1.3663,                 1.9636,                 1.7606,                0.36898,                0.61245,                0.43186,                0.25205,                 1.3896,                 2.1198,                 1.9804,             0.00094822,             0.00094822,             0.00094822
                     40,                 1.3603,                 1.9376,                 1.7618,                0.33738,                0.29941,                0.28038,                 0.1392,                 2.2463,                 2.8571,                 2.7634,             0.00094382,             0.00094382,             0.00094382
                     41,                 1.3569,                 1.9513,                 1.7421,                0.43225,                0.53462,                0.45058,                0.27194,                 1.2942,                 1.8196,                 1.8829,             0.00093942,             0.00093942,             0.00093942
                     42,                 1.2894,                 1.8262,                  1.669,                0.37367,                0.63581,                0.41486,                0.26784,                 1.2723,                 1.9662,                 1.8826,             0.00093502,             0.00093502,             0.00093502
                     43,                  1.353,                  1.849,                 1.7289,                0.40304,                0.69205,                 0.5138,                0.32963,                 1.2865,                 1.7153,                 1.8876,             0.00093062,             0.00093062,             0.00093062
                     44,                 1.4536,                 1.9097,                 1.8087,                0.41463,                0.68956,                0.53134,                0.31668,                 1.3624,                  1.761,                 1.9543,             0.00092622,             0.00092622,             0.00092622
                     45,                 1.3292,                 1.8132,                 1.7278,                 0.4443,                0.66312,                 0.5342,                0.34644,                 1.2237,                 1.7226,                 1.8124,             0.00092182,             0.00092182,             0.00092182
                     46,                 1.2958,                  1.831,                 1.7101,                 0.4536,                0.66866,                0.53084,                0.34601,                 1.2301,                 1.5617,                 1.8124,             0.00091742,             0.00091742,             0.00091742
                     47,                  1.214,                 1.7349,                 1.6321,                0.44076,                0.67169,                0.49134,                0.33848,                 1.1627,                 1.5438,                  1.769,             0.00091302,             0.00091302,             0.00091302
                     48,                 1.2679,                 1.7862,                 1.6748,                0.45531,                0.45771,                0.46316,                0.26095,                 1.5396,                 2.0111,                 2.1147,             0.00090862,             0.00090862,             0.00090862
                     49,                 1.2545,                 1.7211,                 1.6541,                0.44835,                0.66495,                0.54623,                0.34232,                  1.246,                 1.5753,                 1.8086,             0.00090422,             0.00090422,             0.00090422
                     50,                 1.2932,                 1.7228,                 1.6682,                0.49746,                0.65663,                0.56691,                0.35271,                 1.1948,                 1.5778,                 1.7766,             0.00089982,             0.00089982,             0.00089982
                     51,                 1.2815,                 1.7798,                 1.6522,                0.42112,                0.59919,                 0.5002,                 0.3231,                 1.1943,                 1.5914,                  1.775,             0.00089542,             0.00089542,             0.00089542
                     52,                 1.2526,                 1.7483,                 1.6525,                0.58908,                0.65755,                0.60997,                0.38737,                 1.2193,                 1.5426,                 1.7523,             0.00089102,             0.00089102,             0.00089102
                     53,                 1.2595,                 1.7259,                 1.6051,                0.47635,                0.58102,                0.55964,                0.35969,                 1.2574,                 1.7119,                 1.8081,             0.00088662,             0.00088662,             0.00088662
                     54,                  1.251,                  1.658,                  1.611,                0.46295,                0.69574,                0.55738,                0.36737,                 1.2025,                 1.6096,                 1.7767,             0.00088222,             0.00088222,             0.00088222
                     55,                 1.2206,                 1.6147,                 1.5904,                 0.4536,                0.67969,                0.57962,                0.33097,                 1.4116,                 1.7134,                 1.9631,             0.00087782,             0.00087782,             0.00087782
                     56,                 1.2304,                 1.6669,                 1.6061,                0.55976,                0.68547,                0.59427,                0.40029,                 1.1556,                 1.3962,                 1.7024,             0.00087342,             0.00087342,             0.00087342
                     57,                 1.1584,                  1.564,                 1.5892,                0.50314,                0.74294,                0.63333,                0.43005,                 1.0743,                  1.344,                 1.6525,             0.00086902,             0.00086902,             0.00086902
                     58,                 1.2464,                  1.601,                 1.6199,                0.52291,                0.77264,                0.64137,                 0.4314,                 1.1043,                 1.3705,                 1.6393,             0.00086462,             0.00086462,             0.00086462
                     59,                 1.1385,                 1.5505,                 1.5582,                0.48013,                0.69793,                0.55144,                0.36229,                 1.1479,                 1.4805,                 1.7269,             0.00086023,             0.00086023,             0.00086023
                     60,                 1.2216,                  1.574,                 1.5763,                0.42686,                0.72625,                0.57372,                0.36199,                 1.2466,                 1.9079,                 1.8265,             0.00085583,             0.00085583,             0.00085583
                     61,                 1.2238,                 1.6439,                  1.592,                0.44129,                0.71587,                0.60663,                 0.3942,                 1.1333,                 1.5279,                 1.7066,             0.00085143,             0.00085143,             0.00085143
                     62,                 1.2101,                 1.6087,                 1.6137,                0.60905,                 0.7534,                0.67965,                0.46306,                 1.0805,                 1.2805,                 1.6228,             0.00084703,             0.00084703,             0.00084703
                     63,                  1.241,                 1.5453,                 1.5953,                0.53732,                0.44354,                0.47194,                0.25536,                 1.7526,                 2.1593,                 2.3723,             0.00084263,             0.00084263,             0.00084263
