                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.21941,                0.59715,                0.93422,                0.81398,                0.84568,                0.90193,                0.89353,                0.21507,                0.66222,                0.61302,               0.006535,               0.006535,               0.006535
                     37,                0.21584,                0.58514,                 0.9328,                0.70335,                0.86373,                0.88627,                0.87473,                 0.2463,                0.72977,                0.60838,               0.006436,               0.006436,               0.006436
                     38,                0.20375,                0.58733,                  0.939,                 0.8125,                0.78585,                0.87864,                0.86277,                 0.2556,                0.68019,                0.64284,               0.006337,               0.006337,               0.006337
                     39,                0.20926,                0.55172,                0.92682,                0.82234,                0.67975,                0.83228,                0.82284,                0.26305,                0.98521,                0.62993,               0.006238,               0.006238,               0.006238
                     40,                0.19968,                0.55279,                0.92602,                0.63201,                0.84367,                0.78786,                0.77956,                0.25538,                0.81536,                0.64016,               0.006139,               0.006139,               0.006139
                     41,                0.20018,                0.55895,                0.92349,                0.66327,                0.85642,                0.83576,                0.82434,                0.23074,                0.74474,                0.61719,                0.00604,                0.00604,                0.00604
                     42,                0.19819,                0.52453,                0.93011,                0.81355,                0.79495,                0.88544,                 0.8751,                0.23728,                0.64602,                0.64518,               0.005941,               0.005941,               0.005941
                     43,                0.19353,                0.52041,                0.92356,                0.81039,                0.83709,                0.87907,                0.87423,                0.25737,                0.58229,                0.59056,               0.005842,               0.005842,               0.005842
                     44,                0.18641,                0.53031,                0.92284,                0.73849,                0.77635,                0.85282,                 0.8243,                0.25498,                0.89093,                0.64879,               0.005743,               0.005743,               0.005743
                     45,                 0.1924,                0.51492,                0.92394,                0.75862,                0.77898,                0.85614,                0.84117,                0.32557,                0.68704,                0.69058,               0.005644,               0.005644,               0.005644
                     46,                0.19101,                0.50173,                0.91858,                0.77955,                0.77414,                0.85393,                0.84346,                0.23246,                0.73844,                0.59265,               0.005545,               0.005545,               0.005545
                     47,                0.18948,                0.48573,                0.91402,                0.83036,                0.83792,                0.90657,                 0.8954,                0.18892,                  0.544,                0.60379,               0.005446,               0.005446,               0.005446
                     48,                0.18041,                0.50623,                0.91677,                0.87577,                0.80002,                0.88674,                0.87328,                  0.242,                 0.5939,                0.63201,               0.005347,               0.005347,               0.005347
                     49,                0.19248,                0.51376,                0.92227,                0.77136,                 0.8584,                0.89925,                0.89337,                 0.2064,                0.52629,                0.58814,               0.005248,               0.005248,               0.005248
                     50,                0.18318,                0.48983,                0.92548,                0.76091,                0.83527,                 0.8907,                0.88289,                0.22774,                0.64981,                0.58944,               0.005149,               0.005149,               0.005149
                     51,                 0.1758,                0.48933,                0.91104,                 0.8299,                0.82418,                0.90855,                0.90091,                0.20758,                0.59593,                0.57707,                0.00505,                0.00505,                0.00505
                     52,                0.18257,                0.46428,                0.92351,                0.84708,                0.85943,                0.90118,                0.89113,                0.21721,                0.56402,                0.59005,               0.004951,               0.004951,               0.004951
                     53,                0.18552,                 0.4839,                 0.9194,                0.78565,                0.80027,                0.89781,                0.89151,                0.22337,                0.57785,                0.60487,               0.004852,               0.004852,               0.004852
                     54,                0.17537,                0.47784,                0.91858,                0.78926,                0.82248,                0.88567,                0.87535,                0.24135,                0.64335,                0.59887,               0.004753,               0.004753,               0.004753
                     55,                  0.175,                0.46361,                0.92331,                0.81431,                0.84421,                0.88476,                0.86655,                0.22672,                0.68491,                0.61105,               0.004654,               0.004654,               0.004654
                     56,                0.16615,                0.46303,                0.90908,                0.81509,                0.89362,                0.89879,                0.89285,                0.18816,                0.57085,                0.58227,               0.004555,               0.004555,               0.004555
