                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.74717,                0.62974,                 1.3933,                0.91288,                0.93386,                0.97663,                0.76499,                 0.7721,                0.62007,                 1.5956,              0.0077623,              0.0077623,              0.0077623
                     35,                0.75118,                0.58679,                 1.3611,                0.58195,                0.77559,                0.65392,                0.38695,                 1.3822,                 1.3395,                 2.2435,              0.0076945,              0.0076945,              0.0076945
                     36,                0.84114,                0.69729,                 1.4924,                0.87134,                0.89683,                0.89033,                0.66334,                 1.0582,                0.67418,                 1.9111,              0.0076267,              0.0076267,              0.0076267
                     37,                0.79079,                0.64442,                 1.4368,                0.92336,                0.96296,                0.94942,                0.75352,                0.76084,                0.56465,                  1.609,              0.0075589,              0.0075589,              0.0075589
                     38,                0.70285,                  0.602,                 1.3555,                0.93665,                0.98277,                0.97922,                0.75073,                0.77285,                0.71109,                 1.6461,              0.0074911,              0.0074911,              0.0074911
                     39,                0.72933,                0.61411,                 1.3721,                 0.9485,                0.99358,                0.98878,                0.73334,                 0.8136,                0.64174,                 1.6525,              0.0074233,              0.0074233,              0.0074233
                     40,                 0.7518,                0.59904,                 1.3441,                 0.9144,                0.91706,                 0.9811,                0.76871,                0.84935,                0.64651,                 1.5925,              0.0073555,              0.0073555,              0.0073555
                     41,                0.74152,                0.57923,                 1.3777,                0.95482,                      1,                0.99364,                0.75499,                 0.9192,                0.55039,                 1.6368,              0.0072877,              0.0072877,              0.0072877
                     42,                0.72136,                0.55564,                 1.3632,                0.94169,                0.96165,                0.97814,                0.73311,                 0.9025,                0.64567,                 1.6049,              0.0072199,              0.0072199,              0.0072199
                     43,                 0.7234,                0.58279,                 1.3438,                0.92522,                0.92989,                0.96328,                0.75312,                0.79215,                0.61545,                 1.5474,              0.0071521,              0.0071521,              0.0071521
                     44,                0.66589,                0.55295,                 1.3195,                0.90165,                 0.8865,                0.95786,                0.75568,                0.82046,                0.70734,                 1.5276,              0.0070842,              0.0070842,              0.0070842
                     45,                0.71873,                0.57488,                 1.3285,                0.92638,                0.87914,                0.94015,                0.73293,                0.83086,                0.70538,                 1.5274,              0.0070164,              0.0070164,              0.0070164
                     46,                0.66405,                0.51415,                 1.2998,                0.95356,                   0.97,                0.98554,                0.80298,                0.76265,                0.53364,                 1.4956,              0.0069486,              0.0069486,              0.0069486
                     47,                0.71897,                0.52656,                 1.3528,                 0.9664,                 0.9856,                  0.995,                0.72405,                0.95118,                0.58688,                 1.6593,              0.0068808,              0.0068808,              0.0068808
                     48,                0.69806,                0.54384,                 1.3216,                0.90638,                0.88386,                0.95241,                0.74226,                0.84517,                0.63743,                 1.5818,               0.006813,               0.006813,               0.006813
                     49,                0.70093,                0.55269,                 1.3466,                0.88696,                0.97169,                 0.9883,                0.78522,                0.76003,                0.58398,                 1.4856,              0.0067452,              0.0067452,              0.0067452
                     50,                0.68532,                0.53774,                 1.3014,                0.92393,                0.95129,                0.98741,                0.77457,                0.86729,                0.54889,                 1.5908,              0.0066774,              0.0066774,              0.0066774
                     51,                0.66686,                0.52091,                 1.3036,                0.90015,                0.89566,                0.95746,                0.76152,                0.88631,                0.63561,                 1.6979,              0.0066096,              0.0066096,              0.0066096
                     52,                0.61621,                0.47801,                  1.281,                0.90592,                0.91799,                0.96004,                0.75561,                0.87498,                0.54413,                 1.6551,              0.0065418,              0.0065418,              0.0065418
                     53,                0.67595,                0.50343,                 1.3222,                0.87958,                0.92189,                0.94512,                0.71039,                0.92433,                0.66743,                 1.7369,               0.006474,               0.006474,               0.006474
                     54,                 0.6765,                0.52432,                 1.3269,                0.90124,                0.87588,                0.92171,                 0.7199,                 0.8664,                0.68534,                 1.7067,              0.0064062,              0.0064062,              0.0064062
                     55,                 0.6414,                0.50905,                 1.2874,                0.90968,                0.94974,                0.97035,                0.77925,                0.79584,                0.59741,                 1.5996,              0.0063384,              0.0063384,              0.0063384
                     56,                0.64272,                0.49878,                 1.2682,                0.90007,                0.93386,                0.95106,                0.74975,                0.76537,                 0.6631,                 1.5605,              0.0062705,              0.0062705,              0.0062705
                     57,                0.69963,                 0.5424,                 1.3357,                0.87889,                0.93386,                0.93986,                0.76158,                0.77781,                0.63939,                 1.5383,              0.0062027,              0.0062027,              0.0062027
                     58,                0.63631,                0.46044,                 1.2898,                0.91622,                0.92857,                0.98867,                0.77958,                0.78826,                0.58002,                 1.5637,              0.0061349,              0.0061349,              0.0061349
                     59,                0.63803,                0.49128,                 1.2874,                0.91999,                0.98641,                0.99064,                0.78814,                0.77637,                0.51651,                  1.541,              0.0060671,              0.0060671,              0.0060671
                     60,                0.67002,                0.48433,                 1.2956,                0.88766,                0.91629,                0.93876,                0.73543,                0.87965,                0.58652,                  1.682,              0.0059993,              0.0059993,              0.0059993
